,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,ExecCostBps,ExecLM,NetSpreadBps,NetLM,GrossSpreadBps,AbsGrossBps,HalfLifeDays,SpreadBps,ADVmm
0,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-06,268.25,154580.0,0.4,20.488,1.3322,23.62,1.3913,44.11,44.11,2.03,12.854,2382.61
1,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-07,268.39,154580.0,0.4,21.923,1.3603,50.93,1.7154,72.85,72.85,2.01,14.218,2356.428
2,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-10,266.04,154580.0,0.4,21.159,1.3455,-17.35,-1.2637,3.81,3.81,1.92,14.218,2343.102
3,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-11,269.16,154580.0,0.4,23.914,1.3964,51.67,1.7215,75.58,75.58,1.9,14.218,2336.2
4,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-12,270.33,154580.0,0.4,23.925,1.3966,-9.94,-1.0391,13.98,13.98,1.79,15.402,2260.018
5,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-13,275.13,154580.0,0.4,23.445,1.3882,77.14,1.8929,100.58,100.58,1.78,14.429,2348.763
6,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-14,275.24,154580.0,0.4,22.21,1.3657,35.01,1.5564,57.22,57.22,1.75,11.959,2405.03
7,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-17,276.73,154580.0,0.4,22.983,1.3799,22.76,1.3758,45.74,45.74,1.75,12.068,2410.69
8,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-18,279.96,154580.0,0.4,21.369,1.3497,78.81,1.9021,100.18,100.18,1.74,10.832,2392.208
9,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-19,281.11,154580.0,0.4,17.236,1.2609,92.97,1.973,110.21,110.21,1.63,11.694,2404.783
10,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-20,280.75,154580.0,0.4,17.882,1.276,28.38,1.468,46.26,46.26,1.8,11.55,2362.674
11,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-21,278.49,154580.0,0.4,16.923,1.2534,60.89,1.7916,77.81,77.81,1.74,11.231,2391.856
12,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-24,277.25,154580.0,0.4,18.663,1.2937,31.23,1.5083,49.89,49.89,1.69,13.224,2380.794
13,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-25,278.47,154580.0,0.4,18.663,1.2937,19.55,1.3129,38.22,38.22,1.66,13.224,2378.627
14,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-26,278.24,154580.0,0.4,18.829,1.2973,33.51,1.538,52.34,52.34,1.56,13.224,2298.947
15,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-27,281.97,154580.0,0.4,17.66,1.2709,76.98,1.892,94.64,94.64,1.46,10.929,2319.547
16,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-28,284.06,154580.0,0.4,17.627,1.2701,137.89,2.1427,155.51,155.51,1.51,10.929,2330.645
17,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-31,288.14,154580.0,0.4,17.63,1.2702,114.18,2.0614,131.81,131.81,1.44,10.929,2377.483
18,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-01,287.57,154580.0,0.4,19.559,1.313,117.98,2.0755,137.54,137.54,1.46,14.22,2497.407
19,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-02,288.16,154580.0,0.4,21.081,1.344,45.7,1.6693,66.78,66.78,1.35,15.841,2540.709
20,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-03,286.42,154580.0,0.4,20.866,1.3398,93.58,1.9758,114.44,114.44,1.31,15.672,2730.892
21,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-04,279.72,154580.0,0.4,20.842,1.3393,143.24,2.1591,164.08,164.08,1.27,14.101,2939.116
22,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-07,273.71,154580.0,0.4,19.411,1.3099,62.24,1.801,81.65,81.65,1.23,12.738,3063.961
23,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-08,275.2,154580.0,0.4,23.48,1.3888,113.87,2.0602,137.35,137.35,1.18,17.027,3133.395
24,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-09,285.38,154580.0,0.4,22.336,1.368,155.27,2.1939,177.6,177.6,1.15,17.027,3369.65
25,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-10,292.35,154580.0,0.4,21.748,1.3569,141.13,2.1527,162.88,162.88,1.21,15.843,3552.67
26,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-11,297.93,154580.0,0.4,21.748,1.3569,86.63,1.9427,108.38,108.38,1.14,15.843,3671.703
27,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-14,296.23,154580.0,0.4,23.562,1.3903,99.5,2.0022,123.07,123.07,1.05,15.843,3671.839
28,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-15,297.78,154580.0,0.4,22.84,1.3773,73.58,1.8726,96.42,96.42,0.83,15.734,3671.094
29,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-16,307.47,154580.0,0.4,22.84,1.3773,70.62,1.855,93.46,93.46,0.85,15.734,3847.38
30,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-17,306.12,154580.0,0.4,24.859,1.4126,34.28,1.5476,59.14,59.14,1.01,17.86,3995.868
31,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-21,315.59,154580.0,0.4,23.3,1.3856,98.72,1.9988,122.02,122.02,1.19,16.171,4223.638
32,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-22,311.11,154580.0,0.4,24.403,1.4049,-11.03,-1.0804,13.37,13.37,1.15,17.643,4621.627
33,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-23,303.65,154580.0,0.4,22.0,1.3617,111.61,2.0516,133.61,133.61,1.02,14.481,4885.306
34,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-24,308.07,154580.0,0.4,23.732,1.3933,89.99,1.959,113.72,113.72,1.01,14.481,4976.903
35,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-25,304.73,154580.0,0.4,25.715,1.4267,112.44,2.0548,138.15,138.15,0.99,14.481,5082.793
36,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-28,309.07,154580.0,0.4,27.813,1.4596,93.29,1.9745,121.1,121.1,0.91,14.481,5106.966
37,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-29,306.06,154580.0,0.4,30.301,1.4956,27.97,1.4619,58.27,58.27,0.89,17.014,5077.465
38,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-30,303.77,154580.0,0.4,31.133,1.5069,-9.32,-1.0138,-21.81,21.81,0.94,18.681,5006.923
39,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-01,297.46,154580.0,0.4,29.202,1.48,6.35,0.8665,35.56,35.56,0.94,15.39,5000.902
40,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-02,297.98,154580.0,0.4,28.815,1.4744,0.11,0.0465,28.93,28.93,1.0,13.769,4972.077
41,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-05,306.88,154580.0,0.4,26.748,1.4432,25.91,1.4299,52.66,52.66,1.01,12.95,4822.553
42,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-06,315.48,154580.0,0.4,25.286,1.4197,41.43,1.6277,66.71,66.71,1.02,12.95,4707.885
43,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-07,310.75,154580.0,0.4,28.27,1.4664,11.22,1.0871,39.49,39.49,1.04,12.95,4566.452
44,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-08,304.63,154580.0,0.4,24.197,1.4014,40.09,1.6138,64.29,64.29,1.04,8.661,4573.839
45,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-09,306.84,154580.0,0.4,24.504,1.4066,40.43,1.6173,-64.93,64.93,1.12,10.262,4330.46
46,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-12,298.19,154580.0,0.4,24.505,1.4066,-21.4,-1.3502,3.11,3.11,1.11,10.262,4258.421
47,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-13,299.46,154580.0,0.4,26.311,1.4363,-15.51,-1.2178,-10.8,10.8,1.16,12.452,4105.286
48,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-14,293.16,154580.0,0.4,24.5,1.4065,27.2,1.4503,-51.7,51.7,1.19,12.452,4136.596
49,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-15,297.84,154580.0,0.4,26.574,1.4405,-10.05,-1.0432,-16.53,16.53,0.94,12.452,4215.668
50,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-16,294.24,154580.0,0.4,28.956,1.4765,21.65,1.355,-50.6,50.6,1.29,12.452,4110.031
51,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-19,298.03,154580.0,0.4,26.506,1.4394,32.4,1.5238,-58.91,58.91,1.44,9.463,4008.872
52,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-20,303.58,154580.0,0.4,26.673,1.4421,28.46,1.4692,-55.13,55.13,1.53,9.463,3888.492
53,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-21,305.82,154580.0,0.4,25.567,1.4243,41.87,1.6322,67.44,67.44,1.32,7.991,3547.176
54,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-22,303.11,154580.0,0.4,26.888,1.4454,37.16,1.5816,-64.05,64.05,1.34,7.991,3319.662
55,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-23,309.75,154580.0,0.4,25.16,1.4176,10.16,1.0476,-35.32,35.32,1.41,7.991,3357.323
56,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-27,304.5,154580.0,0.4,23.004,1.3803,30.41,1.497,-53.41,53.41,1.61,7.991,3341.066
57,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-28,303.81,154580.0,0.4,22.1,1.3636,45.39,1.6664,-67.49,67.49,1.7,10.38,3330.44
58,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-29,305.61,154580.0,0.4,19.606,1.314,-6.87,-0.8958,-12.74,12.74,1.64,7.847,3368.652
