,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,TrackingError,Dislocation,Beta,Volume,Classifications
0,IBIT,1.930891,1.214989,35.8,2024-09-20,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,29.4543,140.324,0.8675,15938400,4-4
1,IBIT,1.929528,1.44785,36.04,2024-09-23,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,29.4451,166.521,0.8675,17294800,4-4
2,IBIT,1.869458,1.47297,36.64,2024-09-24,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,29.0376,169.347,0.8694,19764100,4-4
3,IBIT,1.396939,2.741058,35.97,2024-09-25,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,25.8321,312.007,0.8725,13547100,4-4
4,IBIT,0.537945,-0.696645,36.84,2024-09-26,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.0048,-74.735,0.8668,41457100,3-1
5,IBIT,0.557674,0.730363,37.39,2024-09-27,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.1386,85.804,0.8687,28884500,4-4
6,IBIT,0.543952,0.209534,36.13,2024-09-30,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.0455,27.211,0.8715,23334200,3-3
7,IBIT,0.421107,0.495417,35.13,2024-10-01,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,19.2122,59.372,0.8605,43920500,3-3
8,IBIT,0.642539,-1.297249,34.24,2024-10-02,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.7143,-142.302,0.8639,29353600,4-1
9,IBIT,0.612335,0.10292,34.72,2024-10-03,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.5094,15.216,0.8648,18482500,4-3
10,IBIT,0.469539,-0.114487,35.52,2024-10-04,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,19.5407,-9.242,0.8683,22625700,3-2
11,IBIT,0.391819,1.11008,36.06,2024-10-07,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,19.0135,128.522,0.8692,21124100,3-4
12,IBIT,0.5419,-0.977822,35.4,2024-10-08,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.0316,-106.367,0.871,25203200,3-1
13,IBIT,0.540928,1.171217,34.68,2024-10-09,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.025,135.4,0.8697,18244000,3-4
14,IBIT,0.674585,-1.401882,33.95,2024-10-10,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,20.9317,-154.074,0.8731,25996500,4-1
15,IBIT,0.879292,0.427676,35.94,2024-10-11,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,22.3204,51.751,0.9072,33399400,4-3
16,IBIT,0.899882,-1.218973,37.57,2024-10-14,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,22.4601,-133.496,0.8946,44553100,4-1
