,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,GoldBeta,VolAnn,TrackingErrorPct,RoundTripBps,ADVmm
0,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-06,268.25,154580.0,0.4,0.787,13.773,7.166,12.875,2382.61
1,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-07,268.39,154580.0,0.4,0.7853,13.772,7.152,14.239,2356.428
2,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-10,266.04,154580.0,0.4,0.7889,13.828,7.235,14.249,2343.102
3,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-11,269.16,154580.0,0.4,0.7887,13.78,7.318,14.255,2336.2
4,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-12,270.33,154580.0,0.4,0.7873,13.69,7.311,15.433,2260.018
5,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-13,275.13,154580.0,0.4,0.7956,13.68,7.386,14.466,2348.763
6,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-14,275.24,154580.0,0.4,0.7857,13.372,7.399,11.996,2405.03
7,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-17,276.73,154580.0,0.4,0.7882,13.39,7.398,12.099,2410.69
8,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-18,279.96,154580.0,0.4,0.7898,13.474,7.402,10.863,2392.208
9,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-19,281.11,154580.0,0.4,0.7689,12.698,6.538,11.717,2404.783
10,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-20,280.75,154580.0,0.4,0.8299,12.722,5.676,11.572,2362.674
11,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-21,278.49,154580.0,0.4,0.8398,12.805,5.676,11.262,2391.856
12,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-24,277.25,154580.0,0.4,0.8433,12.799,5.718,13.255,2380.794
13,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-25,278.47,154580.0,0.4,0.8437,12.805,5.719,13.255,2378.627
14,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-26,278.24,154580.0,0.4,0.8436,12.789,5.72,13.247,2298.947
15,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-27,281.97,154580.0,0.4,0.8477,12.842,5.735,10.96,2319.547
16,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-28,284.06,154580.0,0.4,0.8475,12.822,5.735,10.956,2330.645
17,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-03-31,288.14,154580.0,0.4,0.8578,13.019,5.772,10.96,2377.483
18,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-01,287.57,154580.0,0.4,0.8522,12.866,5.746,14.247,2497.407
19,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-02,288.16,154580.0,0.4,0.8412,12.679,5.759,15.864,2540.709
20,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-03,286.42,154580.0,0.4,0.8231,12.782,5.843,15.694,2730.892
21,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-04,279.72,154580.0,0.4,0.8308,13.863,5.843,14.124,2939.116
22,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-07,273.71,154580.0,0.4,0.8502,14.689,5.909,12.765,3063.961
23,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-08,275.2,154580.0,0.4,0.8628,14.621,5.797,17.05,3133.395
24,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-09,285.38,154580.0,0.4,0.9113,16.048,6.094,17.05,3369.65
25,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-10,292.35,154580.0,0.4,0.8902,16.642,6.13,15.87,3552.67
26,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-11,297.93,154580.0,0.4,0.8959,16.941,6.059,15.87,3671.703
27,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-14,296.23,154580.0,0.4,0.9037,17.015,5.994,15.87,3671.839
28,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-15,297.78,154580.0,0.4,0.9015,16.937,5.896,15.761,3671.094
29,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-16,307.47,154580.0,0.4,0.9068,17.781,5.417,15.761,3847.38
30,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-17,306.12,154580.0,0.4,0.9066,17.845,5.416,17.888,3995.868
31,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-21,315.59,154580.0,0.4,0.9172,18.678,5.458,16.202,4223.638
32,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-22,311.11,154580.0,0.4,0.9244,19.026,6.102,17.67,4621.627
33,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-23,303.65,154580.0,0.4,0.8894,19.652,6.341,14.511,4885.306
34,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-24,308.07,154580.0,0.4,0.8891,19.759,6.341,14.511,4976.903
35,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-25,304.73,154580.0,0.4,0.8847,19.918,6.266,14.512,5082.793
36,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-28,309.07,154580.0,0.4,0.8889,19.896,6.25,14.512,5106.966
37,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-29,306.06,154580.0,0.4,0.8962,20.067,6.322,17.047,5077.465
38,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-04-30,303.77,154580.0,0.4,0.8997,20.17,6.372,18.712,5006.923
39,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-01,297.46,154580.0,0.4,0.8849,20.681,6.396,15.423,5000.902
40,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-02,297.98,154580.0,0.4,0.8829,20.664,6.465,13.802,4972.077
41,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-05,306.88,154580.0,0.4,0.8982,21.388,6.631,12.99,4822.553
42,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-06,315.48,154580.0,0.4,0.8996,21.996,6.621,12.991,4707.885
43,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-07,310.75,154580.0,0.4,0.9043,22.112,6.767,12.992,4566.452
44,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-08,304.63,154580.0,0.4,0.8978,22.549,6.752,8.704,4573.839
45,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-09,306.84,154580.0,0.4,0.8958,22.571,6.782,10.303,4330.46
46,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-12,298.19,154580.0,0.4,0.8878,23.381,6.726,10.305,4258.421
47,GLD,SPDR Gold Shares,World Gold Council,physical,Physical gold,GC=F,2025-05-13,299.46,154580.0,0.4,0.8848,23.128,6.701,12.495,4105.286
