,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,SpreadBps,Illiquidity,ADV,Volume,Classifications
0,IBIT,-0.658451,0.425931,35.8,2024-09-20,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,46.62,-4.5555,853.37,15938400,2-3
1,IBIT,-0.681734,0.425931,36.04,2024-09-23,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,46.62,-4.5684,857.16,17294800,2-3
2,IBIT,-0.690567,0.58032,36.64,2024-09-24,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,49.898,-4.5733,802.37,19764100,2-4
3,IBIT,-0.649204,0.746875,35.97,2024-09-25,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,53.434,-4.5504,792.1,13547100,2-4
4,IBIT,-0.666851,0.746875,36.84,2024-09-26,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,53.434,-4.5602,831.99,41457100,2-4
5,IBIT,-0.710067,0.746875,37.39,2024-09-27,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,53.434,-4.5841,825.95,28884500,2-4
6,IBIT,-0.662767,0.746875,36.13,2024-09-30,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,53.434,-4.5579,829.69,23334200,2-4
7,IBIT,-0.655165,0.746875,35.13,2024-10-01,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,53.434,-4.5537,866.88,43920500,2-4
8,IBIT,-0.641256,0.45249,34.24,2024-10-02,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,47.184,-4.546,877.47,29353600,2-3
9,IBIT,-0.616837,0.59335,34.72,2024-10-03,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,50.174,-4.5324,876.95,18482500,2-4
10,IBIT,-0.65278,0.506279,35.52,2024-10-04,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,48.326,-4.5524,884.02,22625700,2-3
11,IBIT,-0.6768,0.506279,36.06,2024-10-07,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,48.326,-4.5657,861.66,21124100,2-3
12,IBIT,-0.768458,0.136029,35.4,2024-10-08,iShares Bitcoin Trust ETF,BlackRock,BTC,0.25,40.465,-4.6165,866.17,25203200,2-3
